molecule,model,mean,sd,n,median,se,split
ALL,MB2,106.56599749069628,,1,106.56599749069628,,train
ALL,MB2_flip_0,106.56355388610295,,1,106.56355388610295,,train
ALL,MB2_flip_01,106.56437811836828,,1,106.56437811836828,,train
ALL,MB2_flip_012,106.56583033214892,,1,106.56583033214892,,train
ALL,MB2_flip_0123,106.56795741310057,,1,106.56795741310057,,train
ALL,MB2_flip_01234,106.5661592410502,,1,106.5661592410502,,train
ALL,MB2,107.53907382702191,,1,107.53907382702191,,test
ALL,MB2_flip_0,107.53659647678883,,1,107.53659647678883,,test
ALL,MB2_flip_01,107.53744730693228,,1,107.53744730693228,,test
ALL,MB2_flip_012,107.53894177501856,,1,107.53894177501856,,test
ALL,MB2_flip_0123,107.54106841306402,,1,107.54106841306402,,test
ALL,MB2_flip_01234,107.53927092243667,,1,107.53927092243667,,test
